artist;track;duration
Fabrizio De André;Amore Che Vieni Amore Che Vai;166
Fabrizio De André;S'i' fosse foco;71
Fabrizio De André;La ballata dell'eroe;154
Fabrizio De André;Il Gorilla;178
Fabrizio De André;La Canzone Di Marinella;244
Fabrizio De André;Monti di Mola;464
Juanma Rodríguez;Cuando parecía que 'El Chiringuito' iba a ir por aquí...va por allá;0
Juanma Rodríguez;La 'NOTTE' iba por 'QUI'...y DE REPENTE...¡¡POR 'QUA'!!;0
Fabrizio De André;'A Cimma;378
Fabrizio De André;La nova gelosia;185
Fabrizio De André;Megu Megun;321
Fabrizio De André;La Domenica Delle Salme;394
Fabrizio De André;Don Raffae';248
Fabrizio De André;Ottocento;250
Fabrizio De André;Le Nuvole;140
Mark Knopfler;Going Home: Theme of the Local Hero;295
Mark Knopfler;The Rocks & The Thunder;0
Mark Knopfler feat. Gerry Rafferty;the way it always starts;248
Mark Knopfler;Boomtown (Variation Louis' Favourite);250
Mark Knopfler;Freeway Flyer;110
Mark Knopfler;Wild Theme;0
Mark Knopfler;The Rocks & The Water;210
Iceberg;11/8 'Manifest de la follia';0
Iceberg;Valencia;0
Iceberg;La Flamenca Electrica;348
Iceberg;La d'En Kitflus;412
Iceberg;L'acustica 'Referencia d'un canvi d'interior';0
Iceberg;Nova 'Musica de la llum';0
Iceberg;Preludi i Record;139
The Beatles;I'll Be Back;140
The Beatles;You Can't Do That;151
The Beatles;When I Get Home;137
The Beatles;Things We Said Today;153
The Beatles;I'll Cry Instead;103
The Beatles;Any Time at All;129
The Beatles;Can't Buy Me Love;139
The Beatles;Tell Me Why;124
The Beatles;And I Love Her;327
The Beatles;I'm Happy Just to Dance with You;113
The Beatles;If I Fell;136
The Beatles;I Should Have Known Better;159
The Beatles;A Hard Day's Night;152
Fito & Fitipaldis;Abrazado a la Tristeza;206
Fito & Fitipaldis;Esta noche;243
Fito & Fitipaldis;Medalla de cartón;318
Fito & Fitipaldis;No soy Bo Diddley;229
Fito & Fitipaldis;Acabo de llegar;375
Fito & Fitipaldis;Deltoya;145
Fito & Fitipaldis;Donde todo empieza;332
Fito & Fitipaldis;214 Sullivan Street;134
Fito & Fitipaldis;Viene y va;274
Fito & Fitipaldis;Sobra la luz;215
Fito & Fitipaldis;Como pollo sin cabeza;250
Fito & Fitipaldis;Me equivocaría otra vez;305
Fito & Fitipaldis;Por la boca vive el pez;268
Fito & Fitipaldis;Siempre Estoy Soñando;251
Fito & Fitipaldis;Whisky Barato;198
Fito & Fitipaldis;Las Nubes De Tu Pelo;309
Fito & Fitipaldis;Vamonó;210
Fito & Fitipaldis;Nada Que Decir;180
Fito & Fitipaldis;Quiero Ser Una Estrella;201
Fito & Fitipaldis;Corazón Oxidado;241
Fito & Fitipaldis;Soldadito Marinero;254
Fito & Fitipaldis;El ojo que me mira;187
Fito & Fitipaldis;Feo;294
Fito & Fitipaldis;Un Buen Castigo;278
Fito & Fitipaldis;La Casa Por El Tejado;268
Extremoduro;Calle Esperanza s/n;426
Extremoduro;Tango suicida;487
Extremoduro;Si te vas;517
Extremoduro;Otra inútil canción para la paz;371
Extremoduro;Mi espíritu imperecedero;342
Extremoduro;Desarraigo;457
Extremoduro;Extraterrestre;208
Extremoduro;Esrase una vez;276
Extremoduro;Esclarecido;383
Extremoduro;Villancico del Rey de Extremadura;181
Extremoduro;Enemigo;158
Extremoduro;Autorretrato;443
Extremoduro;Su Culo Es Miel;358
Extremoduro;Golfa;359
Extremoduro;Salir;318
Extremoduro;Pedrá;1769
Extremoduro;La Vieja (Canción Sórdida);283
Extremoduro;Buitre No Come Alpiste;258
Extremoduro;Puta;323
Extremoduro;Cerca del Suelo;282
Extremoduro;Luce la Oscuridad;231
Extremoduro;Menamoro;189
Extremoduro;Standby;208
Extremoduro;Hoy te la meto hasta las orejas;223
Extremoduro;La Vereda de la Puerta de Atrás;243
Extremoduro;A Fuego;326
Triana;Todo es de color;124
Triana;En el lago;395
Triana;Dialogo;271
Triana;Se de un lugar;429
Triana;Recuerdos de una noche;282
Triana;Luminosa manana;241
Triana;Abre la puerta;590
The Doors;Riders on the Storm;280
The Doors;The Wasp (Texas Radio and the Big Beat);252
The Doors;Crawling King Snake;297
The Doors;Hyacinth House;190
The Doors;L'America;275
The Doors;L.A. Woman;469
The Doors;Cars Hiss by My Window;250
The Doors;Been Down So Long;280
The Doors;Love Her Madly;199
The Doors;The Changeling;260
Tinariwen (+IO:I);Sastanàqqàm;0
Dire Straits;Skateaway;395
Dire Straits;Tunnel of Love;1166
Dire Straits;Les Boys;244
Dire Straits;Solid Rock;276
Dire Straits;Hand in Hand;289
Dire Straits;Expresso Love;403
Dire Straits;Romeo and Juliet;358
Francesco Guccini;Canzone di notte n.2;295
Francesco Guccini;Piccola storia ignobile;0
Triana;Vuelta A La Sombra Y A La Luz;166
Triana;Tiempo Sin Saber;322
Triana;Hasta volver;640
Triana;Sombra Y Luz;449
Triana;Quiero contarte;300
Triana;Una historia;306
Pink Floyd;Echoes;1724
Robe;Tercer movimiento: Un instante de luz;634
Robe;Segundo movimiento: Mierda de filosofía;286
Robe;Primer Movimiento: Después de la catársis;537
Robe;Interludio;192
Café Quijano;No Tienes Corazón;245
Café Quijano;Nadie Lo Entiende;306
